_start meta data,,,,,,,,,,,,,,,,,,,,,
_update_action,SKU,SKU_Voip,Regiao,Nome_Comecial,Velocidade_BL,Preco_BL,Modem_Wifi,Atributos_Fixo,Preco_Fixo,Oi_Wifi,Preco_conteudo,Preco_Oi_Total,Multa,Preco_Multa,Taxa_Inst_Hab,Validade_adesao,Regulamentos,Sumario,Outros contratos,Mostrar_Selecao,ID_Imagem
String,String,String,String,String,String,Float,String,String,Float,String,Float,Float,String,Float,String,String,String,String,String,String,String
,,,,,,,,,,,,,,,,,,,,,
_end meta data,,,,,,,,,,,,,,,,,,,,,
modify,banda_larga_fibra_50mb_am,banda_larga_fibra_voip_50mb_am,AM,Banda Larga  50 Mega + Fixo Ilimitado,50 Mega,99.9,1 modem de internet WiFi cedido em regime de comodato. ,Ilimitado pra qualquer celular e fixo do Brasil,20,2 milhões de pontos,N/A,119.9,Não, N/A , Grátis ,31/07/2018 a 30/09/2018,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oifibra/regulamento_bandalarga_fibra_tv_R1.pdf,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oifibra/sumario_bandalarga_fibra_tv_R1.pdf,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oi-pra-voce/pacotes/internet-tv-fibra/Contrato_ades%C3%A3o_OI%20BL%20com%20Fibra_v11.pdf https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oi-pra-voce/pacotes/internet-tv-fibra/Contrato_ades%C3%A3o_OI%,S,
modify,banda_larga_fibra_100mb_am,banda_larga_fibra_voip_100mb_am,AM,Banda Larga 100 Mega + Fixo Ilimitado,100 Mega,149.9,1 modem de internet WiFi cedido em regime de comodato. ,Ilimitado pra qualquer celular e fixo do Brasil,20,2 milhões de pontos,N/A,169.9,Não, N/A , Grátis ,31/07/2018 a 30/09/2018,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oifibra/regulamento_bandalarga_fibra_tv_R1.pdf,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oifibra/sumario_bandalarga_fibra_tv_R1.pdf,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oi-pra-voce/pacotes/internet-tv-fibra/Contrato_ades%C3%A3o_OI%20BL%20com%20Fibra_v11.pdf https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oi-pra-voce/pacotes/internet-tv-fibra/Contrato_ades%C3%A3o_OI%,S,
modify,banda_larga_fibra_200mb_am,banda_larga_fibra_voip_200mb_am,AM,Banda Larga  200 Mega + Fixo Ilimitado,200 Mega,189.9,1 modem de internet WiFi cedido em regime de comodato. ,Ilimitado pra qualquer celular e fixo do Brasil,20,2 milhões de pontos,N/A,209.9,Não, N/A , Grátis ,31/07/2018 a 30/09/2018,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oifibra/regulamento_bandalarga_fibra_tv_R1.pdf,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oifibra/sumario_bandalarga_fibra_tv_R1.pdf,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oi-pra-voce/pacotes/internet-tv-fibra/Contrato_ades%C3%A3o_OI%20BL%20com%20Fibra_v11.pdf https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oi-pra-voce/pacotes/internet-tv-fibra/Contrato_ades%C3%A3o_OI%,S,
modify,banda_larga_fibra_50mb_ba,banda_larga_fibra_voip_50mb_ba,BA,Banda Larga  50 Mega + Fixo Ilimitado,50 Mega,99.9,1 modem de internet WiFi cedido em regime de comodato. ,Ilimitado pra qualquer celular e fixo do Brasil,20,2 milhões de pontos,N/A,119.9,Não, N/A , Grátis ,31/07/2018 a 30/09/2018,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oifibra/regulamento_bandalarga_fibra_tv_R1.pdf,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oifibra/sumario_bandalarga_fibra_tv_R1.pdf,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oi-pra-voce/pacotes/internet-tv-fibra/Contrato_ades%C3%A3o_OI%20BL%20com%20Fibra_v11.pdf https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oi-pra-voce/pacotes/internet-tv-fibra/Contrato_ades%C3%A3o_OI%,S,
modify,banda_larga_fibra_100mb_ba,banda_larga_fibra_voip_100mb_ba,BA,Banda Larga 100 Mega + Fixo Ilimitado,100 Mega,149.9,1 modem de internet WiFi cedido em regime de comodato. ,Ilimitado pra qualquer celular e fixo do Brasil,20,2 milhões de pontos,N/A,169.9,Não, N/A , Grátis ,31/07/2018 a 30/09/2018,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oifibra/regulamento_bandalarga_fibra_tv_R1.pdf,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oifibra/sumario_bandalarga_fibra_tv_R1.pdf,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oi-pra-voce/pacotes/internet-tv-fibra/Contrato_ades%C3%A3o_OI%20BL%20com%20Fibra_v11.pdf https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oi-pra-voce/pacotes/internet-tv-fibra/Contrato_ades%C3%A3o_OI%,S,
modify,banda_larga_fibra_200mb_ba,banda_larga_fibra_voip_200mb_ba,BA,Banda Larga  200 Mega + Fixo Ilimitado,200 Mega,189.9,1 modem de internet WiFi cedido em regime de comodato. ,Ilimitado pra qualquer celular e fixo do Brasil,20,2 milhões de pontos,N/A,209.9,Não, N/A , Grátis ,31/07/2018 a 30/09/2018,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oifibra/regulamento_bandalarga_fibra_tv_R1.pdf,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oifibra/sumario_bandalarga_fibra_tv_R1.pdf,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oi-pra-voce/pacotes/internet-tv-fibra/Contrato_ades%C3%A3o_OI%20BL%20com%20Fibra_v11.pdf https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oi-pra-voce/pacotes/internet-tv-fibra/Contrato_ades%C3%A3o_OI%,S,
modify,banda_larga_fibra_50mb_ce,banda_larga_fibra_voip_50mb_ce,CE,Banda Larga  50 Mega + Fixo Ilimitado,50 Mega,99.9,1 modem de internet WiFi cedido em regime de comodato. ,Ilimitado pra qualquer celular e fixo do Brasil,20,2 milhões de pontos,N/A,119.9,Não, N/A , Grátis ,31/07/2018 a 30/09/2018,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oifibra/regulamento_bandalarga_fibra_tv_R1.pdf,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oifibra/sumario_bandalarga_fibra_tv_R1.pdf,https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oi-pra-voce/pacotes/internet-tv-fibra/Contrato_ades%C3%A3o_OI%20BL%20com%20Fibra_v11.pdf https://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oi-pra-voce/pacotes/internet-tv-fibra/Contrato_ades%C3%A3o_OI%,S,
