_start meta data
_update_action,SKU,Regiao,Nome_comercial,Vel_internet,Preco,Modem_Wifi,Oi_Wifi,Multa,Preco_Multa,Taxa_Inst_Hab,Validade_adesao,Regulamentos,Sumario,Outros_contratos,Mostrar_Selecao,ID_Imagem
String,String,String,String,String,Float,String,String,String,Float,String,String,String,String,String,String,String
,,,,,,,,,,,,,,,,
_end meta data
modify,banda_larga_basico_fid_padrao_15mb_com_sva_r1,R1,Banda Larga Básico,15Mbps,59.9,1 modem de internet WiFi cedido em regime de comodato.,2 milhões de pontos,Sim,300.0,Banda Larga – R$108 ou 12x de R$9,18/04/2018 a 18/07/2018,[url],[url],[url],S,
modify,banda_larga_basico_fid_padrao_15mb_com_sva_r2,R2,Banda Larga Básico,15Mbps,59.9,1 modem de internet WiFi cedido em regime de comodato.,2 milhões de pontos,Sim,300.0,Banda Larga – R$108 ou 12x de R$9,18/04/2018 a 18/07/2018,[url],[url],[url],S,
modify,banda_larga_basico_fid_padrao_25mb_com_sva_r1,R1,Banda Larga Básico,25Mbps,69.9,1 modem de internet WiFi cedido em regime de comodato.,2 milhões de pontos,Sim,300.0,Banda Larga – R$108 ou 12x de R$9,18/04/2018 a 18/07/2018,[url],[url],[url],S,
modify,banda_larga_basico_fid_padrao_25mb_com_sva_r2,R2,Banda Larga Básico,25Mbps,69.9,1 modem de internet WiFi cedido em regime de comodato.,2 milhões de pontos,Sim,300.0,Banda Larga – R$108 ou 12x de R$9,18/04/2018 a 18/07/2018,[url],[url],[url],S,
modify,banda_larga_basico_fid_padrao_35mb_com_sva_r1,R1,Oi Total Play Básico,35Mbps,79.9,1 modem de internet WiFi cedido em regime de comodato.,2 milhões de pontos,Sim,300.0,Banda Larga – R$108 ou 12x de R$9,18/04/2018 a 18/07/2018,[url],[url],[url],S,
modify,banda_larga_basico_fid_padrao_35mb_com_sva_r2,R2,Oi Total Play Básico,35Mbps,79.9,1 modem de internet WiFi cedido em regime de comodato.,2 milhões de pontos,Sim,300.0,Banda Larga – R$108 ou 12x de R$9,18/04/2018 a 18/07/2018,[url],[url],[url],S,
modify,banda_larga_intermediario_fid_padrao_15mb_com_sva_r1,R1,Banda Larga Intermediário,15Mbps,59.9,1 modem de internet WiFi cedido em regime de comodato.,2 milhões de pontos,Sim,300.0,Banda Larga – R$108 ou 12x de R$9,18/04/2018 a 18/07/2018,[url],[url],[url],S,
