_start meta data
_update_action,ID_Imagem,Disp,Arquivo,Title,Alt
String,String,String,String,String,String
,,,,,
_end meta data
modify,fixo_identificador_de_chamadas_logoImg,,,,
modify,fixo_chamada_em_espera_logoImg,,,,
modify,bl_oi_antivirus_logoImg,,,,
modify,bl_oi_Educa_logoImg,,,,
modify,bl_modem_wifi_logoImg,,,,
modify,bl_oi_backup_cloud_50gb_logoImg,,,,
modify,bl_conteudo_colecao_oi_logoImg,,,,
modify,bl_conteudo_noggin_logoImg,,,,
modify,bl_conteudo_crackle_logoImg,,,,
modify,bl_conteudo_discovery_kids_on_logoImg,,,,
modify,bl_conteudo_hbo_go_logoImg,,,,
modify,bl_conteudo_watch_espn_logoImg,,,,
modify,bl_conteudo_fox_basicos_logoImg,,,,
modify,bl_conteudo_fox_premium_logoImg,,,,
modify,bl_conteudo_fox_mais_logoImg,,,,
modify,bl_conteudo_telecine_play_logoImg,,,,
modify,logoGooglePlay,,icon-play-store.png,,
modify,logoAppStore,,icon-app-store.png,,
modify,fixo_identificador_de_chamadas_logoPeq,,,,
modify,fixo_chamada_em_espera_logoPeq,,,,
modify,bl_oi_antivirus_logoPeq,,antivirus.svg,,
modify,bl_oi_Educa_logoPeq,,educa.svg,,
modify,bl_modem_wifi_logoPeq,,icon-Wifi.svg,,
modify,bl_oi_backup_cloud_50gb_logoPeq,,cloud.svg,,
modify,bl_conteudo_colecao_oi_logoPeq,,,,
modify,bl_conteudo_noggin_logoPeq,,,,
modify,bl_conteudo_crackle_logoPeq,,,,
modify,bl_conteudo_discovery_kids_on_logoPeq,,,,
modify,bl_conteudo_hbo_go_logoPeq,,icon-hbo-go.png,,
modify,bl_conteudo_watch_espn_logoPeq,,,,
modify,bl_conteudo_fox_basicos_logoPeq,,,,
modify,bl_conteudo_fox_premium_logoPeq,,,,
modify,bl_conteudo_fox_mais_logoPeq,,,,
modify,bl_conteudo_telecine_play_logoPeq,,,,
modify,fixo_identificador_de_chamadas_logoGrande,,,,
modify,fixo_chamada_em_espera_logoGrande,,,,
modify,bl_oi_antivirus_logoGrande,,,,
modify,bl_oi_Educa_logoGrande,,,,
modify,bl_modem_wifi_logoGrande,,,,
modify,bl_oi_backup_cloud_50gb_logoGrande,,,,
modify,bl_conteudo_colecao_oi_logoGrande,,,,
modify,bl_conteudo_noggin_logoGrande,,,,
modify,bl_conteudo_crackle_logoGrande,,,,
modify,bl_conteudo_discovery_kids_on_logoGrande,,,,
modify,bl_conteudo_hbo_go_logoGrande,,icon-apps-hbo-go.png,,
modify,bl_conteudo_watch_espn_logoGrande,,,,
modify,bl_conteudo_fox_basicos_logoGrande,,,,
modify,bl_conteudo_fox_premium_logoGrande,,,,
modify,bl_conteudo_fox_mais_logoGrande,,,,
modify,bl_conteudo_telecine_play_logoGrande,,,,
modify,fixo_identificador_de_chamadas_img,,,,
modify,fixo_chamada_em_espera_img,,,,
modify,bl_oi_antivirus_img,,,,
modify,bl_oi_Educa_img,,,,
modify,bl_modem_wifi_img,,,,
modify,bl_oi_backup_cloud_50gb_img,,,,
modify,bl_conteudo_colecao_oi_img,,,,
modify,bl_conteudo_noggin_img,,,,
modify,bl_conteudo_crackle_img,,,,
modify,bl_conteudo_discovery_kids_on_img,,,,
modify,bl_conteudo_hbo_go_img,,imagem-ballers-hbo-go-1.png,,
modify,bl_conteudo_watch_espn_img,,,,
modify,bl_conteudo_fox_basicos_img,,,,
modify,bl_conteudo_fox_premium_img,,,,
modify,bl_conteudo_fox_mais_img,,,,
modify,bl_conteudo_telecine_play_img,,,,
