_start meta data
_update_action,SKU_Oferta,SKU_Conteudo,Incluso,Disp_Pos_Venda
String,String,String,String,String
,,,,
_end meta data
modify,banda_larga_fibra_2pbl_nvend,bl_internet_100mb,N,N
modify,banda_larga_fibra_combos_nvend,bl_internet_100mb,N,N
modify,banda_larga_fibra_2pbl_nvend,bl_internet_200mb,N,N
modify,banda_larga_fibra_combos_nvend,bl_internet_200mb,N,N
modify,oi_total_fibra_banda_larga_fixo_basico_fid,bl_conteudo_colecao_oi,N,N
modify,oi_total_fibra_banda_larga_fixo_intermediario_fid,bl_conteudo_colecao_oi,S,N
modify,oi_total_fibra_banda_larga_fixo_top_fid,bl_conteudo_colecao_oi,S,N
modify,oi_total_fibra_banda_larga_fixo_basico_fid,bl_conteudo_noggin,N,N
modify,oi_total_fibra_banda_larga_fixo_intermediario_fid,bl_conteudo_noggin,S,N
modify,oi_total_fibra_banda_larga_fixo_top_fid,bl_conteudo_noggin,S,N
modify,oi_total_fibra_banda_larga_fixo_basico_fid,bl_conteudo_crackle,N,N
modify,oi_total_fibra_banda_larga_fixo_intermediario_fid,bl_conteudo_crackle,S,N
modify,oi_total_fibra_banda_larga_fixo_top_fid,bl_conteudo_crackle,S,N
modify,oi_total_fibra_banda_larga_fixo_basico_fid,bl_conteudo_discovery_kids_on,N,N
modify,oi_total_fibra_banda_larga_fixo_intermediario_fid,bl_conteudo_discovery_kids_on,S,N
modify,oi_total_fibra_banda_larga_fixo_top_fid,bl_conteudo_discovery_kids_on,S,N
modify,oi_total_fibra_banda_larga_fixo_basico_fid,bl_conteudo_hbo_go,N,N
modify,oi_total_fibra_banda_larga_fixo_intermediario_fid,bl_conteudo_hbo_go,N,N
modify,oi_total_fibra_banda_larga_fixo_top_fid,bl_conteudo_hbo_go,S,N
modify,oi_total_fibra_banda_larga_fixo_basico_fid,bl_conteudo_watch_espn,N,N
modify,oi_total_fibra_banda_larga_fixo_intermediario_fid,bl_conteudo_watch_espn,S,N
modify,oi_total_fibra_banda_larga_fixo_top_fid,bl_conteudo_watch_espn,S,N
modify,oi_total_fibra_banda_larga_fixo_basico_fid,bl_conteudo_fox_basicos,N,N
modify,oi_total_fibra_banda_larga_fixo_intermediario_fid,bl_conteudo_fox_basicos,N,N
modify,oi_total_fibra_banda_larga_fixo_top_fid,bl_conteudo_fox_basicos,N,N
modify,oi_total_fibra_banda_larga_fixo_basico_fid,bl_conteudo_fox_premium,N,N
modify,oi_total_fibra_banda_larga_fixo_intermediario_fid,bl_conteudo_fox_premium,S,N
modify,oi_total_fibra_banda_larga_fixo_top_fid,bl_conteudo_fox_premium,S,N
modify,oi_total_fibra_banda_larga_fixo_basico_fid,bl_conteudo_fox_mais,N,N
modify,oi_total_fibra_banda_larga_fixo_intermediario_fid,bl_conteudo_fox_mais,N,N
modify,oi_total_fibra_banda_larga_fixo_top_fid,bl_conteudo_fox_mais,S,N
modify,oi_total_fibra_banda_larga_fixo_basico_fid,bl_conteudo_telecine_play,N,N
modify,oi_total_fibra_banda_larga_fixo_intermediario_fid,bl_conteudo_telecine_play,N,N
modify,oi_total_fibra_banda_larga_fixo_top_fid,bl_conteudo_telecine_play,N,N
modify,oi_total_fibra_banda_larga_fixo_basico_fid,bl_internet_100mb,N,N
modify,oi_total_fibra_banda_larga_fixo_intermediario_fid,bl_internet_100mb,N,N
modify,oi_total_fibra_banda_larga_fixo_top_fid,bl_internet_100mb,N,N
modify,oi_total_fibra_banda_larga_fixo_basico_fid,bl_internet_200mb,N,N
modify,oi_total_fibra_banda_larga_fixo_intermediario_fid,bl_internet_200mb,N,N
modify,oi_total_fibra_banda_larga_fixo_top_fid,bl_internet_200mb,N,N
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_ce,bl_conteudo_noggin,N,N
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_es,bl_conteudo_noggin,N,N
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_pb,bl_conteudo_noggin,N,N
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_rn,bl_conteudo_noggin,N,N
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_se,bl_conteudo_noggin,N,N
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_ba,bl_conteudo_noggin,N,N
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_rj,bl_conteudo_noggin,N,N
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_al,bl_conteudo_noggin,N,N
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_am,bl_conteudo_noggin,N,N
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_ap,bl_conteudo_noggin,N,N
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_ma,bl_conteudo_noggin,N,N
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_mg,bl_conteudo_noggin,N,N
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_pa,bl_conteudo_noggin,N,N
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_pe,bl_conteudo_noggin,N,N
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_pi,bl_conteudo_noggin,N,N
