_start meta data
_update_action,SKU_Oferta,SKU_Conteudo
String,String,String
,,
_end meta data
modify,fixo_allnet_2pbl_nvend_fid_com_sd_r1_ce,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_fid_com_sd_r1_es,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_fid_com_sd_r1_pb,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_fid_com_sd_r1_rn,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_fid_com_sd_r1_se,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_fid_com_sd_r1_ba,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_fid_com_sd_r1_rj,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_fid_com_sd_r1_al,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_fid_com_sd_r1_am,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_fid_com_sd_r1_ap,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_fid_com_sd_r1_ma,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_fid_com_sd_r1_mg,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_fid_com_sd_r1_pa,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_fid_com_sd_r1_pe,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_fid_com_sd_r1_pi,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_fid_com_sd_r1_rr,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_fid_com_sd_r2,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_po_fid_com_sd_r1_ce,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_po_fid_com_sd_r1_es,fixo_identificador_de_chamadas
modify,fixo_allnet_2pbl_nvend_po_fid_com_sd_r1_pb,fixo_identificador_de_chamadas
