_start meta data
_update_action,SKU,Regiao,Nome_comercial,Dados,Bonus_de_dados,Voz,Max_dependentes,SMS,Oi_Wifi,Validade_para_adesao,Regulamentos,Sumario,Outros_contratos,Preco,Fidelidade,Mostrar_Selecao,Title_Imagem_Destaq,Alt_Imagem_Destaq
String,String,String,String,String,String,String,Integer,String,String,String,String,String,String,Float,String,String,String,String
,,,,,,,,,,,,,,,,,,
_end meta data
modify,pos-pago_light_fid_brasil,Brasil,Oi Mais Digital Ligtht,4,,ligações ilimitadas,0,Ilimitado,2 milhões de pontos,25/09/2018 a 22/10/2018,https://www.oi.com.br/celular/pos-pago/regras-de-oferta/,[url],[url],59.9,S,N,Família conectada com o Pós da Oi,Família reunida no sofá conectada ao celular
modify,pos-pago_basico_fid_brasil,Brasil,Oi Mais Digital Básico,7,,ligações ilimitadas,4,Ilimitado,2 milhões de pontos,25/09/2018 a 22/10/2018,https://www.oi.com.br/celular/pos-pago/regras-de-oferta/,[url],[url],84.9,S,S,Família conectada com o Pós da Oi,Família reunida no sofá conectada ao celular
modify,pos-pago_intermediario_fid_brasil,Brasil,Oi Mais Digital Intermédiário,15,10 GB + 5 GB de bônus,ligações ilimitadas,4,Ilimitado,2 milhões de pontos,25/09/2018 a 22/10/2018,https://www.oi.com.br/celular/pos-pago/regras-de-oferta/,[url],[url],99.9,S,S,Família conectada com o Pós da Oi,Família reunida no sofá conectada ao celular
modify,pos-pago_top_fid_brasil,Brasil,Oi Mais Digital Top,25,20 GB + 5 GB de bônus,ligações ilimitadas,4,Ilimitado,2 milhões de pontos,25/09/2018 a 22/10/2018,https://www.oi.com.br/celular/pos-pago/regras-de-oferta/,[url],[url],164.9,S,S,Família conectada com o Pós da Oi,Família reunida no sofá conectada ao celular
modify,pos-pago_master_fid_brasil,Brasil,Oi Mais Digital Master,50,40 GB + 10 GB de bônus,ligações ilimitadas,4,Ilimitado,2 milhões de pontos,25/09/2018 a 22/10/2018,https://www.oi.com.br/celular/pos-pago/regras-de-oferta/,[url],[url],249.9,S,S,Família conectada com o Pós da Oi,Família reunida no sofá conectada ao celular
modify,pos-pago_basico_nfid_brasil,Brasil,Oi Mais Digital Básico,7,,ligações ilimitadas,4,Ilimitado,3 milhões de pontos,25/09/2018 a 22/10/2018,https://www.oi.com.br/celular/pos-pago/regras-de-oferta/,[url],[url],134.9,N,N,Família conectada com o Pós da Oi,Família reunida no sofá conectada ao celular
modify,pos-pago_intermediario_nfid_brasil,Brasil,Oi Mais Digital Intermédiário,15,10 GB + 5 GB de bônus,ligações ilimitadas,4,Ilimitado,4 milhões de pontos,25/09/2018 a 22/10/2018,https://www.oi.com.br/celular/pos-pago/regras-de-oferta/,[url],[url],159.9,N,N,Família conectada com o Pós da Oi,Família reunida no sofá conectada ao celular
modify,pos-pago_top_nfid_brasil,Brasil,Oi Mais Digital Top,25,20 GB + 5 GB de bônus,ligações ilimitadas,4,Ilimitado,5 milhões de pontos,25/09/2018 a 22/10/2018,https://www.oi.com.br/celular/pos-pago/regras-de-oferta/,[url],[url],244.9,N,N,Família conectada com o Pós da Oi,Família reunida no sofá conectada ao celular
modify,pos-pago_master_nfid_brasil,Brasil,Oi Mais Digital Master,50,40 GB + 10 GB de bônus,ligações ilimitadas,4,Ilimitado,6 milhões de pontos,25/09/2018 a 22/10/2018,https://www.oi.com.br/celular/pos-pago/regras-de-oferta/,[url],[url],339.9,N,N,Família conectada com o Pós da Oi,Família reunida no sofá conectada ao celular
