_start meta data
_update_action,SKU_Oferta,SKU_Conteudo,Incluso,Disp_Pos_Venda
String,String,String,String,String
,,,,
_end meta data
modify,pos-pago_light_fid_brasil,movel_conteudo_oi_play_espn,N,S
modify,pos-pago_light_fid_brasil,movel_conteudo_oi_play_crackle,N,S
modify,pos-pago_light_fid_brasil,movel_conteudo_oi_play_hbo_go,N,S
modify,pos-pago_light_fid_brasil,movel_conteudo_oi_play_discovery_kids_on,N,S
modify,pos-pago_light_fid_brasil,movel_conteudo_oi_play_telecine_play,N,S
modify,pos-pago_basico_fid_brasil,movel_conteudo_oi_play_colecao_oi,S,N
modify,pos-pago_basico_fid_brasil,movel_conteudo_oi_play_espn,N,S
modify,pos-pago_basico_fid_brasil,movel_conteudo_oi_play_crackle,N,S
modify,pos-pago_basico_fid_brasil,movel_conteudo_oi_play_hbo_go,N,S
modify,pos-pago_basico_fid_brasil,movel_conteudo_oi_play_discovery_kids_on,N,S
modify,pos-pago_basico_fid_brasil,movel_conteudo_oi_play_telecine_play,N,S
modify,pos-pago_intermediario_fid_brasil,movel_conteudo_oi_play_colecao_oi,S,N
modify,pos-pago_intermediario_fid_brasil,movel_conteudo_oi_play_espn,S,N
modify,pos-pago_intermediario_fid_brasil,movel_conteudo_oi_play_noggin,S,N
modify,pos-pago_intermediario_fid_brasil,movel_conteudo_oi_play_crackle,N,S
modify,pos-pago_intermediario_fid_brasil,movel_conteudo_oi_play_hbo_go,N,S
modify,pos-pago_intermediario_fid_brasil,movel_conteudo_oi_play_discovery_kids_on,S,N
modify,pos-pago_intermediario_fid_brasil,movel_conteudo_oi_play_telecine_play,N,S
modify,pos-pago_top_fid_brasil,movel_conteudo_oi_play_colecao_oi,S,N
modify,pos-pago_top_fid_brasil,movel_conteudo_oi_play_espn,S,N
modify,pos-pago_top_fid_brasil,movel_conteudo_oi_play_noggin,S,N
modify,pos-pago_top_fid_brasil,movel_conteudo_oi_play_hbo_go,S,N
modify,pos-pago_top_fid_brasil,movel_conteudo_oi_play_discovery_kids_on,S,N
modify,pos-pago_top_fid_brasil,movel_conteudo_oi_play_crackle,N,S
modify,pos-pago_top_fid_brasil,movel_conteudo_oi_play_telecine_play,N,S
modify,pos-pago_master_fid_brasil,movel_conteudo_oi_play_colecao_oi,S,N
modify,pos-pago_master_fid_brasil,movel_conteudo_oi_play_espn,S,N
modify,pos-pago_master_fid_brasil,movel_conteudo_oi_play_noggin,S,N
modify,pos-pago_master_fid_brasil,movel_conteudo_oi_play_hbo_go,S,N
modify,pos-pago_master_fid_brasil,movel_conteudo_oi_play_discovery_kids_on,S,N
modify,pos-pago_master_fid_brasil,movel_conteudo_oi_play_fox_plus,S,N
modify,pos-pago_master_fid_brasil,movel_conteudo_oi_play_crackle,N,S
modify,pos-pago_master_fid_brasil,movel_conteudo_oi_play_telecine_play,N,S
modify,pos-pago_basico_nfid_brasil,movel_conteudo_oi_play_colecao_oi,S,N
modify,pos-pago_basico_nfid_brasil,movel_conteudo_oi_play_espn,N,S
modify,pos-pago_basico_nfid_brasil,movel_conteudo_oi_play_crackle,N,S
modify,pos-pago_basico_nfid_brasil,movel_conteudo_oi_play_hbo_go,N,S
modify,pos-pago_basico_nfid_brasil,movel_conteudo_oi_play_discovery_kids_on,N,S
modify,pos-pago_basico_nfid_brasil,movel_conteudo_oi_play_telecine_play,N,S
modify,pos-pago_intermediario_nfid_brasil,movel_conteudo_oi_play_colecao_oi,S,N
modify,pos-pago_intermediario_nfid_brasil,movel_conteudo_oi_play_espn,S,N
modify,pos-pago_intermediario_nfid_brasil,movel_conteudo_oi_play_noggin,S,N
modify,pos-pago_intermediario_nfid_brasil,movel_conteudo_oi_play_crackle,N,S
modify,pos-pago_intermediario_nfid_brasil,movel_conteudo_oi_play_hbo_go,N,S
modify,pos-pago_intermediario_nfid_brasil,movel_conteudo_oi_play_discovery_kids_on,S,N
modify,pos-pago_intermediario_nfid_brasil,movel_conteudo_oi_play_telecine_play,N,S
modify,pos-pago_top_nfid_brasil,movel_conteudo_oi_play_colecao_oi,S,N
modify,pos-pago_top_nfid_brasil,movel_conteudo_oi_play_espn,S,N
modify,pos-pago_top_nfid_brasil,movel_conteudo_oi_play_noggin,S,N
modify,pos-pago_top_nfid_brasil,movel_conteudo_oi_play_hbo_go,S,N
modify,pos-pago_top_nfid_brasil,movel_conteudo_oi_play_discovery_kids_on,S,N
modify,pos-pago_top_nfid_brasil,movel_conteudo_oi_play_crackle,N,S
modify,pos-pago_top_nfid_brasil,movel_conteudo_oi_play_telecine_play,N,S
modify,pos-pago_master_nfid_brasil,movel_conteudo_oi_play_colecao_oi,S,N
modify,pos-pago_master_nfid_brasil,movel_conteudo_oi_play_espn,S,N
modify,pos-pago_master_nfid_brasil,movel_conteudo_oi_play_noggin,S,N
modify,pos-pago_master_nfid_brasil,movel_conteudo_oi_play_hbo_go,S,N
modify,pos-pago_master_nfid_brasil,movel_conteudo_oi_play_discovery_kids_on,S,N
modify,pos-pago_master_nfid_brasil,movel_conteudo_oi_play_fox_plus,S,N
modify,pos-pago_master_nfid_brasil,movel_conteudo_oi_play_crackle,N,S
modify,pos-pago_master_nfid_brasil,movel_conteudo_oi_play_telecine_play,N,S
modify,pos-pago_top_fid_brasil,movel_conteudo_oi_play_fox_plus,N,S
modify,pos-pago_light_fid_brasil,movel_conteudo_oi_play_fox_plus,N,S
modify,pos-pago_intermediario_fid_brasil,movel_conteudo_oi_play_fox_plus,N,S
modify,pos-pago_intermediario_nfid_brasil,movel_conteudo_oi_play_fox_plus,N,S
