_start meta data
_update_action,SKU_Oferta,SKU_SVA
String,String,String
,,
_end meta data
modify,pos-pago_light_fid_brasil,movel_sva_oi_livros
modify,pos-pago_light_fid_brasil,movel_sva_oi_jornais
modify,pos-pago_basico_fid_brasil,movel_sva_oi_livros
modify,pos-pago_basico_fid_brasil,movel_sva_oi_jornais
modify,pos-pago_basico_fid_brasil,movel_sva_oi_revista
modify,pos-pago_intermediario_fid_brasil,movel_sva_oi_livros
modify,pos-pago_intermediario_fid_brasil,movel_sva_oi_jornais
modify,pos-pago_intermediario_fid_brasil,movel_sva_oi_revista
modify,pos-pago_intermediario_fid_brasil,movel_sva_clic_news
modify,pos-pago_top_fid_brasil,movel_sva_oi_livros
modify,pos-pago_top_fid_brasil,movel_sva_oi_jornais
modify,pos-pago_top_fid_brasil,movel_sva_oi_revista
modify,pos-pago_top_fid_brasil,movel_sva_clic_news
modify,pos-pago_top_fid_brasil,movel_sva_dentro_da_historia
modify,pos-pago_top_fid_brasil,movel_sva_minuto_leitura
modify,pos-pago_master_fid_brasil,movel_sva_oi_livros
modify,pos-pago_master_fid_brasil,movel_sva_oi_jornais
modify,pos-pago_master_fid_brasil,movel_sva_oi_revista
modify,pos-pago_master_fid_brasil,movel_sva_clic_news
modify,pos-pago_master_fid_brasil,movel_sva_dentro_da_historia
modify,pos-pago_master_fid_brasil,movel_sva_minuto_leitura
modify,pos-pago_basico_nfid_brasil,movel_sva_oi_livros
modify,pos-pago_basico_nfid_brasil,movel_sva_oi_jornais
modify,pos-pago_basico_nfid_brasil,movel_sva_oi_revista
modify,pos-pago_intermediario_nfid_brasil,movel_sva_oi_livros
modify,pos-pago_intermediario_nfid_brasil,movel_sva_oi_jornais
modify,pos-pago_intermediario_nfid_brasil,movel_sva_oi_revista
modify,pos-pago_intermediario_nfid_brasil,movel_sva_clic_news
modify,pos-pago_top_nfid_brasil,movel_sva_oi_livros
modify,pos-pago_top_nfid_brasil,movel_sva_oi_jornais
modify,pos-pago_top_nfid_brasil,movel_sva_oi_revista
modify,pos-pago_top_nfid_brasil,movel_sva_clic_news
modify,pos-pago_top_nfid_brasil,movel_sva_dentro_da_historia
modify,pos-pago_top_nfid_brasil,movel_sva_minuto_leitura
modify,pos-pago_master_nfid_brasil,movel_sva_oi_livros
modify,pos-pago_master_nfid_brasil,movel_sva_oi_jornais
modify,pos-pago_master_nfid_brasil,movel_sva_oi_revista
modify,pos-pago_master_nfid_brasil,movel_sva_clic_news
modify,pos-pago_master_nfid_brasil,movel_sva_dentro_da_historia
modify,pos-pago_master_nfid_brasil,movel_sva_minuto_leitura
