"Parts"

"update","company_associations","part_number","direct_buy","description: en","description: de","description: fr","description: es","description: it","description: ar_SA","description: zh_CN","description: zh_TW","description: cs_CZ","description: da_DK","description: nl_NL","description: fi_FI","description: fr_CA","description: iw_IL","description: hu_HU","description: ja_JP","description: ko_KR","description: pl_PL","description: pt_BR","description: ru_RU","description: sv_SE","description: no_NO","description: ro_RO","description: tr_TR","units: en","units: de","units: fr","units: es","units: it","units: ar_SA","units: zh_CN","units: zh_TW","units: cs_CZ","units: da_DK","units: nl_NL","units: fi_FI","units: fr_CA","units: iw_IL","units: hu_HU","units: ja_JP","units: ko_KR","units: pl_PL","units: pt_BR","units: ru_RU","units: sv_SE","units: no_NO","units: ro_RO","units: tr_TR","file_one","file_two","file_three","file_four","lead_time","partner_part_id","partner_std_pbook_entry_id","partner_organization_id","part_display_number","price: USD","price: BRL",
"add",,"movel_sva_oi_livros","1",,,,,,,,,,,,,,,,,,,"Oi Livros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Oi Livros",,,
"add",,"movel_sva_oi_jornais","1",,,,,,,,,,,,,,,,,,,"Oi Jornais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Oi Jornais",,,
"add",,"movel_sva_oi_revista","1",,,,,,,,,,,,,,,,,,,"Oi Revistas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Oi Revistas",,,
"add",,"movel_sva_clic_news","1",,,,,,,,,,,,,,,,,,,"Clic News",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Clic News",,,
"add",,"movel_sva_dentro_da_historia","1",,,,,,,,,,,,,,,,,,,"Dentro da História",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Dentro da História",,,
"add",,"movel_sva_minuto_leitura","1",,,,,,,,,,,,,,,,,,,"Minuto leitura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Minuto leitura",,,
"add",,"movel_conteudo_oi_play_colecao_oi","1",,,,,,,,,,,,,,,,,,,"Coleção Oi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Coleção Oi",,,
"add",,"movel_conteudo_oi_play_fox_plus","1",,,,,,,,,,,,,,,,,,,"Fox+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Fox+",,,
"add",,"movel_conteudo_oi_play_espn","1",,,,,,,,,,,,,,,,,,,"Watch ESPN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Watch ESPN",,,
"add",,"movel_conteudo_oi_play_crackle","1",,,,,,,,,,,,,,,,,,,"Crackle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Crackle",,,
"add",,"movel_conteudo_oi_play_hbo_go","1",,,,,,,,,,,,,,,,,,,"HBO GO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"HBO GO",,,
"add",,"movel_conteudo_oi_play_discovery_kids_on","1",,,,,,,,,,,,,,,,,,,"Discovery Kids On!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Discovery Kids On!",,,
"add",,"movel_conteudo_oi_play_telecine_play","1",,,,,,,,,,,,,,,,,,,"Telecine Play",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Telecine Play",,,
"add",,"movel_conteudo_oi_play_noggin","1",,,,,,,,,,,,,,,,,,,"Noggin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Noggin",,,
"add",,"pos-pago_basico_dependente_fid","1",,,,,,,,,,,,,,,,,,,"Dependente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Dependente",,,
"add",,"pos-pago_intermediario_dependente_fid","1",,,,,,,,,,,,,,,,,,,"Dependente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Dependente",,,
"add",,"pos-pago_top_dependente_fid","1",,,,,,,,,,,,,,,,,,,"Dependente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Dependente",,,
"add",,"pos-pago_master_dependente_fid","1",,,,,,,,,,,,,,,,,,,"Dependente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Dependente",,,
"add",,"pos-pago_basico_dependente_nfid","1",,,,,,,,,,,,,,,,,,,"Dependente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Dependente",,,
"add",,"pos-pago_intermediario_dependente_nfid","1",,,,,,,,,,,,,,,,,,,"Dependente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Dependente",,,
"add",,"pos-pago_top_dependente_nfid","1",,,,,,,,,,,,,,,,,,,"Dependente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Dependente",,,
"add",,"pos-pago_master_dependente_nfid","1",,,,,,,,,,,,,,,,,,,"Dependente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Dependente",,,
"add",,"pos-pago_light_fid_brasil","1",,,,,,,,,,,,,,,,,,,"Oi Mais Digital Ligtht",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Oi Mais Digital Ligtht",,,
"add",,"pos-pago_basico_fid_brasil","1",,,,,,,,,,,,,,,,,,,"Oi Mais Digital Básico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Oi Mais Digital Básico",,,
"add",,"pos-pago_intermediario_fid_brasil","1",,,,,,,,,,,,,,,,,,,"Oi Mais Digital Intermédiário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Oi Mais Digital Intermédiário",,,
"add",,"pos-pago_top_fid_brasil","1",,,,,,,,,,,,,,,,,,,"Oi Mais Digital Top",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Oi Mais Digital Top",,,
"add",,"pos-pago_master_fid_brasil","1",,,,,,,,,,,,,,,,,,,"Oi Mais Digital Master",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Oi Mais Digital Master",,,
"add",,"pos-pago_basico_nfid_brasil","1",,,,,,,,,,,,,,,,,,,"Oi Mais Digital Básico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Oi Mais Digital Básico",,,
"add",,"pos-pago_intermediario_nfid_brasil","1",,,,,,,,,,,,,,,,,,,"Oi Mais Digital Intermédiário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Oi Mais Digital Intermédiário",,,
"add",,"pos-pago_top_nfid_brasil","1",,,,,,,,,,,,,,,,,,,"Oi Mais Digital Top",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,"Oi Mais Digital Top",,,
